municipio_id,municipio,template_name_size,template,cluster_id,cluster_size,cluster_rank,cluster_n_portais
176,Alvorada de Minas,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
759,Aricanduva,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
726,Augusto de Lima,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
666,Berilo,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
148,Bocaiúva,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
729,Bonito de Minas,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
5,Brasília de Minas,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
291,Cachoeira de Pajeú,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
256,Capelinha,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
584,Capitão Enéas,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
126,Catuti,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
824,Chapada Gaúcha,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
53,Claro dos Poções,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
733,Coluna,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
768,Coração de Jesus,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
353,Couto de Magalhães de Minas,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
152,Cristália,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
816,Curral de Dentro,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
706,Datas,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
396,Divisa Alegre,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
51,Divisópolis,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
95,Dores de Guanhães,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
520,Engenheiro Navarro,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
242,Espinosa,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
179,Felício dos Santos,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
272,Francisco Badaró,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
351,Francisco Sá,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
420,Frei Lagonegro,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
598,Fruta de Leite,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
286,Gameleiras,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
432,Glaucilândia,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
168,Gouveia,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
379,Guaraciama,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
818,Ibiaí,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
633,Indaiabira,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
805,Itacambira,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
8,Itacarambi,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
153,Itamarandiba,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
658,Itinga,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
294,Janaúba,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
284,Jaíba,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
557,Jenipapo de Minas,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
161,Jequitaí,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
719,Joaquim Felício,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
315,Josenópolis,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
137,Juramento,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
498,Ladainha,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
235,Lontra,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
483,Mamonas,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
618,Manga,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
138,Mata Verde,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
438,Materlândia,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
265,Mato Verde,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
812,Mirabela,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
312,Miravânia,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
632,Monte Azul,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
508,Montezuma,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
377,Mário Campos,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
231,Nova Porteirinha,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
362,Novo Cruzeiro,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
561,Novorizonte,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
709,Padre Carvalho,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
560,Pai Pedro,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
582,Patis,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
673,Pedra Azul,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
183,Pintópolis,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
645,Ponto Chique,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
208,Presidente Kubitschek,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
145,Rio Pardo de Minas,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
665,Santa Cruz de Salinas,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
578,Santana do Riacho,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
449,Santo Antônio do Retiro,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
639,Santo Hipólito,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
779,Senador Modestino Gonçalves,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
144,Serra Azul de Minas,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
365,Setubinha,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
275,São Gonçalo do Rio Preto,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
140,São João da Lagoa,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
429,São João das Missões,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
428,São João do Pacuí,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
50,São Romão,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
593,Turmalina,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
725,Vargem Grande do Rio Pardo,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
172,Veredinha,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
124,Virgem da Lapa,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
727,Várzea da Palma,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
307,Água Boa,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
306,Águas Vermelhas,Síntese Tecnologia e Informática (88),Síntese Tecnologia e Informática,5,88,1.0,88.0
398,Antônio Prado de Minas,Memory (66),Memory,7,66,2.0,66.0
723,Araçaí,Memory (66),Memory,7,66,2.0,66.0
688,Araújos,Memory (66),Memory,7,66,2.0,66.0
407,Bonfinópolis de Minas,Memory (66),Memory,7,66,2.0,66.0
531,Brasilândia de Minas,Memory (66),Memory,7,66,2.0,66.0
349,Buenópolis,Memory (66),Memory,7,66,2.0,66.0
317,Cachoeira da Prata,Memory (66),Memory,7,66,2.0,66.0
777,Caetanópolis,Memory (66),Memory,7,66,2.0,66.0
111,Campestre,Memory (66),Memory,7,66,2.0,66.0
373,Capela Nova,Memory (66),Memory,7,66,2.0,66.0
39,Carlos Chagas,Memory (66),Memory,7,66,2.0,66.0
529,Chalé,Memory (66),Memory,7,66,2.0,66.0
782,Conceição do Mato Dentro,Memory (66),Memory,7,66,2.0,66.0
12,Corinto,Memory (66),Memory,7,66,2.0,66.0
281,Córrego Danta,Memory (66),Memory,7,66,2.0,66.0
558,Córrego Fundo,Memory (66),Memory,7,66,2.0,66.0
354,Desterro de Entre Rios,Memory (66),Memory,7,66,2.0,66.0
7,Desterro do Melo,Memory (66),Memory,7,66,2.0,66.0
331,Dom Bosco,Memory (66),Memory,7,66,2.0,66.0
262,Dom Joaquim,Memory (66),Memory,7,66,2.0,66.0
418,Doresópolis,Memory (66),Memory,7,66,2.0,66.0
523,Felisburgo,Memory (66),Memory,7,66,2.0,66.0
525,Fortuna de Minas,Memory (66),Memory,7,66,2.0,66.0
271,Funilândia,Memory (66),Memory,7,66,2.0,66.0
224,Ibiá,Memory (66),Memory,7,66,2.0,66.0
775,Iguatama,Memory (66),Memory,7,66,2.0,66.0
595,Ipanema,Memory (66),Memory,7,66,2.0,66.0
340,Jequitinhonha,Memory (66),Memory,7,66,2.0,66.0
376,Joaíma,Memory (66),Memory,7,66,2.0,66.0
572,José Raydan,Memory (66),Memory,7,66,2.0,66.0
34,Lagamar,Memory (66),Memory,7,66,2.0,66.0
78,Manhumirim,Memory (66),Memory,7,66,2.0,66.0
478,Martinho Campos,Memory (66),Memory,7,66,2.0,66.0
659,Matias Cardoso,Memory (66),Memory,7,66,2.0,66.0
826,Matozinhos,Memory (66),Memory,7,66,2.0,66.0
638,Medeiros,Memory (66),Memory,7,66,2.0,66.0
562,Monjolos,Memory (66),Memory,7,66,2.0,66.0
718,Morada Nova de Minas,Memory (66),Memory,7,66,2.0,66.0
685,Morro da Garça,Memory (66),Memory,7,66,2.0,66.0
228,Mutum,Memory (66),Memory,7,66,2.0,66.0
120,Onça de Pitangui,Memory (66),Memory,7,66,2.0,66.0
61,Pains,Memory (66),Memory,7,66,2.0,66.0
107,Papagaios,Memory (66),Memory,7,66,2.0,66.0
545,Pedra do Indaiá,Memory (66),Memory,7,66,2.0,66.0
75,Perdigão,Memory (66),Memory,7,66,2.0,66.0
76,Perdões,Memory (66),Memory,7,66,2.0,66.0
624,Pitangui,Memory (66),Memory,7,66,2.0,66.0
526,Piumhi,Memory (66),Memory,7,66,2.0,66.0
568,Porteirinha,Memory (66),Memory,7,66,2.0,66.0
173,Presidente Olegário,Memory (66),Memory,7,66,2.0,66.0
216,Prudente de Morais,Memory (66),Memory,7,66,2.0,66.0
797,Riachinho,Memory (66),Memory,7,66,2.0,66.0
660,Ribeirão Vermelho,Memory (66),Memory,7,66,2.0,66.0
186,Rubelita,Memory (66),Memory,7,66,2.0,66.0
430,Salinas,Memory (66),Memory,7,66,2.0,66.0
569,Santa Margarida,Memory (66),Memory,7,66,2.0,66.0
360,Santa Maria do Salto,Memory (66),Memory,7,66,2.0,66.0
694,Santa Rosa da Serra,Memory (66),Memory,7,66,2.0,66.0
507,Santana de Pirapama,Memory (66),Memory,7,66,2.0,66.0
149,Santo Antônio do Rio Abaixo,Memory (66),Memory,7,66,2.0,66.0
264,Serranópolis de Minas,Memory (66),Memory,7,66,2.0,66.0
540,São José da Varginha,Memory (66),Memory,7,66,2.0,66.0
691,Taparuba,Memory (66),Memory,7,66,2.0,66.0
65,Uruana de Minas,Memory (66),Memory,7,66,2.0,66.0
80,Vargem Bonita,Memory (66),Memory,7,66,2.0,66.0
392,Vieiras,Memory (66),Memory,7,66,2.0,66.0
744,Abre Campo,Portaltp (61),Portaltp,17,61,4.0,61.0
760,Almenara,Portaltp (61),Portaltp,17,61,4.0,61.0
166,Berizal,Portaltp (61),Portaltp,17,61,4.0,61.0
789,Caiana,Portaltp (61),Portaltp,17,61,4.0,61.0
722,Caldas,Portaltp (61),Portaltp,17,61,4.0,61.0
18,Caparaó,Portaltp (61),Portaltp,17,61,4.0,61.0
194,Carbonita,Portaltp (61),Portaltp,17,61,4.0,61.0
369,Central de Minas,Portaltp (61),Portaltp,17,61,4.0,61.0
675,Congonhas do Norte,Portaltp (61),Portaltp,17,61,4.0,61.0
687,Cordisburgo,Portaltp (61),Portaltp,17,61,4.0,61.0
133,Divino das Laranjeiras,Portaltp (61),Portaltp,17,61,4.0,61.0
266,Espera Feliz,Portaltp (61),Portaltp,17,61,4.0,61.0
592,Extrema,Portaltp (61),Portaltp,17,61,4.0,61.0
580,Faria Lemos,Portaltp (61),Portaltp,17,61,4.0,61.0
753,Fortaleza de Minas,Portaltp (61),Portaltp,17,61,4.0,61.0
239,Galiléia,Portaltp (61),Portaltp,17,61,4.0,61.0
414,Gonzaga,Portaltp (61),Portaltp,17,61,4.0,61.0
455,Itambacuri,Portaltp (61),Portaltp,17,61,4.0,61.0
405,Jaboticatubas,Portaltp (61),Portaltp,17,61,4.0,61.0
780,Jacinto,Portaltp (61),Portaltp,17,61,4.0,61.0
612,Jampruca,Portaltp (61),Portaltp,17,61,4.0,61.0
647,Januária,Portaltp (61),Portaltp,17,61,4.0,61.0
226,José Gonçalves de Minas,Portaltp (61),Portaltp,17,61,4.0,61.0
93,João Monlevade,Portaltp (61),Portaltp,17,61,4.0,61.0
516,Lajinha,Portaltp (61),Portaltp,17,61,4.0,61.0
361,Liberdade,Portaltp (61),Portaltp,17,61,4.0,61.0
652,Manhuaçu,Portaltp (61),Portaltp,17,61,4.0,61.0
204,Martins Soares,Portaltp (61),Portaltp,17,61,4.0,61.0
116,Moeda,Portaltp (61),Portaltp,17,61,4.0,61.0
794,Montalvânia,Portaltp (61),Portaltp,17,61,4.0,61.0
646,Morro do Pilar,Portaltp (61),Portaltp,17,61,4.0,61.0
339,Nacip Raydan,Portaltp (61),Portaltp,17,61,4.0,61.0
700,Nanuque,Portaltp (61),Portaltp,17,61,4.0,61.0
234,Ninheira,Portaltp (61),Portaltp,17,61,4.0,61.0
617,Nova Resende,Portaltp (61),Portaltp,17,61,4.0,61.0
737,Palmópolis,Portaltp (61),Portaltp,17,61,4.0,61.0
664,Poté,Portaltp (61),Portaltp,17,61,4.0,61.0
793,Presidente Juscelino,Portaltp (61),Portaltp,17,61,4.0,61.0
743,Rio Piracicaba,Portaltp (61),Portaltp,17,61,4.0,61.0
300,Rio do Prado,Portaltp (61),Portaltp,17,61,4.0,61.0
404,Rubim,Portaltp (61),Portaltp,17,61,4.0,61.0
245,Santa Bárbara do Leste,Portaltp (61),Portaltp,17,61,4.0,61.0
83,Santa Rita de Minas,Portaltp (61),Portaltp,17,61,4.0,61.0
17,Santa Rita do Itueto,Portaltp (61),Portaltp,17,61,4.0,61.0
600,Santana do Manhuaçu,Portaltp (61),Portaltp,17,61,4.0,61.0
473,Senhora do Porto,Portaltp (61),Portaltp,17,61,4.0,61.0
122,São Domingos do Prata,Portaltp (61),Portaltp,17,61,4.0,61.0
213,São Francisco do Glória,Portaltp (61),Portaltp,17,61,4.0,61.0
831,São Félix de Minas,Portaltp (61),Portaltp,17,61,4.0,61.0
